OID_,Municipali,Barangay,Ashfall_Th,Measured_T,Other_Rema,LONG,LAT,Z,SOURCE
116,La Castellana,Cabagnaan,Light ashfall,1-2mm,weaker shockwave and boom,513475.459878,1146880.207695,737.901106069999969,NegOcc OpCen
117,La Castellana,Camandag,Light ashfall,1-2mm,weaker shockwave and boom,507028.657407,1142697.809757,109.391710500000002,Social Media
118,La Castellana,Manghanoy,Ashfall,1-2mm,weaker shockwave and boom,511156.446087,1141554.525998,200.000000000000000,NegOcc OpCen
119,Moises Padilla,Montilla,-, ,Sulfuric smell only,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
120,Moises Padilla,Odiong,-, ,Sulfuric smell only,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
121,Moises Padilla,Magallon Cadre,-, ,Sulfuric smell only,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
122,Moises Padilla,Macagahay,-, ,Sulfuric smell only,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
123,Moises Padilla,6,-, ,Sulfuric smell only,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
124,Murcia,Minoyan,-, ,Sulfuric smell only,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
125,Pontevedra,Pandan,Heavy ashfall,2-5mm,-,496179.003780,1141578.386289,72.000000000000000,Social Media
126,Pontevedra,Antipolo,Moderate ashfall,2-5mm,-,495292.577908,1144516.228852,77.000000000000000,NegOcc OpCen
127,San Carlos City,Codcod,Light ashfall,<1mm,With sulfur stench,522225.438276,1158506.401760,740.055069621000030,NegOcc OpCen
128,San Enrique,Sibucao,-, ,Sulfuric smell only,0.000000000000000,0.000000000000000,0.000000000000000,NegOcc OpCen
129,Sipalay,Poblacion 1,Light ashfall,<1mm,-,434378.449125,1077871.524468,2.000000000000000,NegOcc OpCen
130,Sipalay,Poblacion 2,Light ashfall,<1mm,-,434311.705202,1077344.122874,2.000000000000000,NegOcc OpCen
131,Sipalay,Poblacion 3,Light ashfall,<1mm,-,434970.010554,1077453.421124,1.000000000000000,NegOcc OpCen
132,Sipalay,Poblacion 5,Light ashfall,<1mm,-,434434.019726,1078283.734137,1.000000000000000,NegOcc OpCen
133,Sipalay,Cartagena,Light ashfall,<1mm,-,435730.216292,1085706.213849,64.288620547999997,NegOcc OpCen
134,Sipalay,San Jose,Light ashfall,<1mm,-,441397.877763,1084594.626809,145.171939973000008,NegOcc OpCen
135,Sipalay,Canturay,Light ashfall,<1mm,-,436822.378551,1083112.612802,90.271496505700000,NegOcc OpCen
